Ref.,Morgan Scores (Cos.),Searched Mols (Cos.),Morgan Scores (Euc.),Searched Mols (Euc.),Morgan Scores (Ours),Generated Mols (Ours),Morgan Scores (Pre-trained hierVAE),Generated Mols (Pre-trained hierVAE)
C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2ccc(Cl)c(Cl)c2)Oc3c(NS(=O)(=O)C)cccc3C1=O,0.17,CO[C@H]1CN(C)C(=O)c2ccc(NC(=O)Nc3cc(F)ccc3F)cc2OC[C@H](C)N(C[C@H]1C)C(=O)c1cnccn1,0.14,Cc1cccc(CN2CCN(CC2)C(c2ccccc2)c2ccc(Cl)cc2)c1,0.42,CC1CCCCOC(CN(C)Cc2ccc(Cl)c(Cl)c2)C(C)CN(C(C)CO)C(=O)c2cc(NC(=O)CCN3CCOCC3)ccc2O1,0.29,CC1COCC(=O)c2cccc(NS(C)(=O)=O)c2COC(CN(C)S(=O)(=O)c2ccccc2)C(=O)CN(C(C)CO)C1C
C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2ccc(Cl)c(Cl)c2)Oc3ccc(NC(=O)c4ccncc4)cc3C1=O,0.09,OC(=O)CCc1cc(I)c(O)c(I)c1,0.07,NC(=N)NC(=O)c1nc(Cl)c(N)nc1N,0.42,CC(C)NC(=O)Nc1ccc2c(c1)C(=O)N(C(C)CO)CC(C)C(CN(C)Cc1cccnc1)OCCCCC(C)O2,0.13,Cc1cc(C)c(-c2ccc(C(F)(F)F)c(C(F)(F)F)c2C(=O)NS(=O)(=O)NC(=O)c2cc3c(c(C(F)(F)F)c2)OCO3)cc1C
C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2ccc(cc2)C(F)(F)F)Oc3ccc(NC(=O)Nc4c(C)noc4C)cc3C1=O,0.43,COc1ccc(NC(=O)Nc2cccc3C(=O)N(C[C@@H](C)[C@@H](CN(C)Cc4ccc5OCOc5c4)Oc23)[C@@H](C)CO)cc1,0.25,C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)c2ccc(F)cc2)Oc3cc(ccc3S1(=O)=O)C4=CCCC4,0.61,CC1CN(C(C)CO)C(=O)c2cc(NC(=O)CCC(F)(F)F)ccc2OC1CN(C)Cc1ccc(F)cc1,0.17,CN1C(=O)N(CC(=O)Nc2ccc(C(C)(C)C)cc2)C(C(=O)O)C1(C)c1ccc(NC(=O)CCN2CCN(C(=O)c3ccccc3)CC2)cc1
C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2cccc(F)c2)Oc3ncc(C#CC(C)(C)O)cc3C1=O,0.23,C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)C(=O)Oc2cccc3ccccc23)OCc4cnnn4CCCC1=O,0.12,OC(COc1cccc2oc(cc(=O)c12)C(O)=O)COc1cccc2oc(cc(=O)c12)C(O)=O,0.36,CC1CN(C(C)CO)C(=O)c2cc(NC(=O)CCCN(C)C)ccc2OC1CN(C)Cc1ccc(C(=O)O)cc1,0.14,COC1CN(C)C(=O)c2cc(NS(=O)(=O)CC(F)(F)F)ccc2OCC(C)N(C(=O)CC(F)(F)F)CC1C
C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)S(=O)(=O)CC(F)(F)F)OCc2ccccc2-c3c(C1=O)n(C)c4ccccc34,0.17,OC[C@H]1O[C@H](CC(=O)NCc2ccc(Cl)c(Cl)c2)C=C[C@H]1NS(=O)(=O)c1ccccc1,0.09,CCc1c(C)[nH]c2CCC(CN3CCOCC3)C(=O)c12,0.69,CC1CN(C(C)CO)C(=O)c2c(c3ccccc3n2C)-c2ccccc2COC1CN(C)Cc1ccc(C(F)(F)F)cc1,0.04,CCCCCCCCCCCCCCCCCCC(O)CO
C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)S(=O)(=O)c2c(C)noc2C)OCCCC[C@@H](C)Oc3ccc(cc3C1=O)N(C)C,0.25,C[C@H](CO)N1C[C@H](C)[C@H](CN(C)Cc2ccc3OCOc3c2)Oc4ncc(cc4C1=O)c5cc6ccccc6o5,0.59,C[C@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Cc2ccccc2)OCCCC[C@H](C)Oc3ccc(cc3C1=O)N(C)C,0.43,CC1CCCCOC(CN(C)Cc2cccnc2)C(C)CN(C(C)CO)C(=O)c2cc(NC(=O)c3cccnc3)ccc2O1,0.17,CN(C)C(=O)CC1CC2Oc3cccc(NC(=O)C4CCC4)c3C2(CO)CO1
C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)S(=O)(=O)c2c(C)noc2C)OCCCC[C@H](C)Oc3ccc(cc3C1=O)N(C)C,0.44,CC(C)NC(=O)N(C)C[C@@H]1OCCCC[C@H](C)Oc2ccc(NC(=O)Nc3ccc4OCOc4c3)cc2C(=O)N(C[C@@H]1C)[C@H](C)CO,0.44,CC(C)NC(=O)N(C)C[C@@H]1OCCCC[C@H](C)Oc2ccc(NC(=O)Nc3ccc4OCOc4c3)cc2C(=O)N(C[C@@H]1C)[C@H](C)CO,0.58,CC1CCCCOC(CN(C)Cc2ccc(C(F)(F)F)cc2)C(C)CN(C(C)CO)C(=O)c2cc(N(C)C)ccc2O1,0.11,O=C(CC1CCC2C(COCC(Br)C(=O)N2Cc2ccccc2Cl)O1)NCCc1ccccc1
C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)S(=O)(=O)c2ccccc2)OCc3cn(CCCC1=O)nn3,0.14,Fc1cccc(F)c1S(=O)(=O)N2CCN(CC2)C(=O)c3ccc4OCCOc4c3,0.1,CS(=O)(=O)CCNCc1ccc(o1)-c1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1,0.62,CC1CN(C(C)CO)C(=O)CCCn2cc(nn2)COC1CN(C)C(=O)c1cccnc1,0.07,Cc1c(C)c(C)c(NC(=O)NCCCC(NC(=O)C(N)C(C)C)C(N)=O)c(C)c1C
C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)S(=O)(=O)c2cn(C)cn2)OCc3ccccc3-c4ccccc4C1=O,0.19,C[C@H](NC(=O)C[C@@H]1O[C@@H](CO)[C@H](NC(=O)Cc2ccccn2)C=C1)c1ccccc1,0.14,CN(C)CCC[C@]1(OCc2cc(ccc12)C#N)c1ccc(F)cc1,0.45,CCCNC(=O)N(C)CC1OCc2ccccc2-c2c(n(C)c3ccccc23)C(=O)N(C(C)CO)CC1C,0.18,COC1C(=O)CN(C)C(CNC(C)C)C(C)OCC(=O)CN(C)C1CC(=O)NCc1ccccc1
C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)CCN(C)C)OCc2ccccc2-c3c(C1=O)n(C)c4ccccc34,0.27,C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2ccc(cc2)C(F)(F)F)Oc3ccc(NC(=O)CCN4CCOCC4)cc3C1=O,0.17,Cc1ccccc1S(=O)(=O)N1C[C@@H](O)COC[C@@H]2O[C@@H](CC(=O)NCc3ccccc3Cl)CC[C@@H]12,0.67,COc1ccc(NC(=O)N(C)CC2OCc3ccccc3-c3c(n(C)c4ccccc34)C(=O)N(C(C)CO)CC2C)cc1,0.14,CC1OC(C)C(OCCN(C)C)C(O)C1NC(=O)c1cccnc1
C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)Nc2c(C)noc2C)Oc3ccc(NC(=O)Cc4ccccc4)cc3C1=O,0.55,C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)C)Oc2ccc(NC(=O)Nc3ccccc3)cc2C1=O,0.09,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,0.45,CC1CN(C(C)CO)C(=O)c2cc(NC(=O)CCCN(C)C)ccc2OC1CN(C)Cc1ccc(C(F)(F)F)cc1,0.17,COc1cc(CNC(=O)CC2OCCC3C2COC(O)CCN3C(=O)Nc2ccc(C(F)(F)F)cc2)cc(OC)c1
C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)c2ccncc2)OCCCC[C@@H](C)Oc3ccc(NC(=O)c4ccccc4)cc3C1=O,0.16,COc1ccc2c3c([C@H](CO)NC[C@]33CN(C3)C(=O)Nc3ccccc3F)n(C)c2c1,0.05,CCCC(CCC)C(O)=O,0.56,CC1CCCCOC(CN(C)Cc2ccncc2)C(C)CN(C(C)CO)C(=O)c2cc(NS(=O)(=O)c3cccc(F)c3)ccc2O1,0.15,C=C1NC(C)(C)C(=O)OC(Cc2ccccc2)NCCCC1=O
C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)c2ccncc2)OCCCC[C@H](C)Oc3ccc(NC(=O)c4ccccc4)cc3C1=O,0.07,CCCCC[C@H](O)/C=C/[C@H]1C=CC(=O)[C@@H]1CCCCCCC(=O)O,0.07,CCCCC[C@H](O)/C=C/[C@H]1C=CC(=O)[C@@H]1CCCCCCC(=O)O,0.48,CC(C)NC(=O)N(C)CC1OCCCCC(C)Oc2ccc(N(C)C)cc2C(=O)N(C(C)CO)CC1C,0.12,CCN(CC)CCOC(=O)C1CC23CC(=O)CC=C2CCC(C)C3C1C
C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)C)OCCCC[C@H](C)Oc2ccc(NS(=O)(=O)c3cn(C)cn3)cc2C1=O,0.52,CC(C)NC(=O)N(C)C[C@H]1OCCCC[C@@H](C)Oc2ccc(NC(=O)Cc3ccccc3)cc2C(=O)N(C[C@@H]1C)[C@H](C)CO,0.18,CN(C)CCCNC(=O)C[C@H]1CC[C@@H](NS(=O)(=O)c2ccc(C)cc2)[C@@H](CO)O1,0.6,Cc1ccc(S(=O)(=O)Nc2ccc3c(c2)C(=O)N(C(C)CO)CC(C)C(CN(C)C(=O)NC(C)C)OCCCCC(C)O3)cc1,0.14,CN(C)C(=O)CC1OC(CO)CC=C1NS(C)(=O)=O
C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccc(Cl)c(Cl)c2)Oc3c(NS(=O)(=O)C)cccc3C1=O,0.15,CN1CCCC(CC1)n1nc(Cc2ccc(Cl)cc2)c2ccccc2c1=O,0.16,COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC,0.52,CC(C)NC(=O)Nc1cccc2c1OC(CN(C)Cc1ccc(C(F)(F)F)cc1)C(C)CN(C(C)CO)C2=O,0.14,CCNCCCNC(=O)CC1CC(CO)C(c2ccccc2C#N)C(NC(=O)Nc2cccc(F)c2)O1
C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccc(Cl)c(Cl)c2)Oc3ccc(NC(=O)c4ccncc4)cc3C1=O,0.49,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc(Oc3ccccc3)cc2)Oc4c(NC(=O)c5ccncc5)cccc4C1=O,0.06,CCCC(CCC)C(O)=O,0.43,CC1CCCCOC(CN(C)Cc2cccnc2)C(C)CN(C(C)CO)C(=O)c2cc(NC(=O)Nc3ccccc3)ccc2O1,0.16,CCCNC(=O)N1CC(OC)CCN(C)C(=O)c2ccc(NS(C)(=O)=O)cc2OC(C)C1C
C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccc(cc2)C(F)(F)F)Oc3ccc(NC(=O)Nc4c(C)noc4C)cc3C1=O,0.19,OC[C@@H]1O[C@@H](CC(=O)NCCc2ccccc2)C[C@@H]3[C@H]1Oc4ccc(NC(=O)c5cccnc5)cc34,0.17,CC1(C)CCC(C)(C)c2cc(ccc12)C(=O)Nc1ccc(cc1)C(O)=O,0.46,CC(C)NC(=O)Nc1ccc2c(c1)CC(=O)N(C(C)CO)CC(C)C(CN(C)Cc1cccc(C(F)(F)F)c1)O2,0.13,CNC(=O)CC1OC(CO)CCC1NC(=O)c1cc(F)c(F)c(F)c1F
C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2cccc(F)c2)Oc3ncc(C#CC(C)(C)O)cc3C1=O,0.47,C[C@H](O)C#Cc1cnc2O[C@@H](CN(C)CC3CCOCC3)[C@@H](C)CN([C@@H](C)CO)C(=O)c2c1,0.26,CCCC#Cc1ccc2c(O[C@@H](CN(C)C(=O)Nc3ccccc3F)[C@@H](C)CN([C@H](C)CO)S2(=O)=O)c1,0.32,COc1cccc(S(=O)(=O)Nc2ccc3c(c2)C(=O)N(C(C)CO)CC(C)C(CN(C)Cc2cccc(C(F)(F)F)c2)OCCCCC(C)O3)c1,0.19,COC1CN(C)C(=O)c2ccc(NS(=O)(=O)c3ccc(F)cc3)cc2OC(CN(C)C(=O)c2cccnc2)CN(C)CC1C
C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)S(=O)(=O)c2cn(C)cn2)OCc3ccccc3-c4ccccc4C1=O,0.19,CCC(=O)Nc1ccc2OC[C@@H](C)N(Cc3ccncc3)C[C@@H](C)[C@H](CN(C)C(=O)c2c1)OC,0.15,Cc1cccc(Nc2ccccc2C(O)=O)c1C,0.35,Cc1ccc(S(=O)(=O)N(C)CC2OCc3cn(nn3)CCCC(=O)N(C(C)CO)CC2C)cc1,0.23,CC(C)NC(=O)N(C)CC1OCc2ccc(NC(=O)CCC(F)(F)F)cc2CC(C)OCCC(=O)N(C(C)CO)CC1C
C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)CCN(C)C)OCc2ccccc2-c3c(C1=O)n(C)c4ccccc34,0.19,CN1[C@@H]([C@@H](CO)[C@@H]2Cn3c(ccc(-c4cccc(F)c4)c3=O)[C@H]12)C(=O)NCc1ccccn1,0.17,CC(C)NC(=O)N[C@H]1C=C[C@@H](CC(=O)NC2Cc3ccccc3C2)O[C@H]1CO,0.62,CC1CN(C(C)CO)C(=O)c2c(c3ccccc3n2C)-c2ccccc2COC1CN(C)Cc1ccc(C(F)(F)F)cc1,0.12,CC(=O)Nc1ccc(-c2cc3nc(N4CCNCC4)ccn3n2)cc1
C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Nc2c(C)noc2C)Oc3ccc(NC(=O)Cc4ccccc4)cc3C1=O,0.71,C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)Nc2c(C)noc2C)Oc3ccc(NC(=O)CCC(F)(F)F)cc3C1=O,0.1,Oc1ccc(cc1)C=Cc1cc(O)cc(O)c1,0.45,CC(C)NC(=O)Nc1ccc2c(c1)C(=O)N(C(C)CO)CC(C)C(CN(C)Cc1ccc(C(F)(F)F)cc1)O2,0.06,CCCCNCC1OC(CO)C(O)C1O
C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Oc2cccc3ccccc23)OCc4cn(CCCC1=O)nn4,0.18,CO[C@@H]1CN(C)C(=O)c2ccc(NC(=O)C3CC3)cc2OC[C@@H](C)N(Cc2ccncc2)C[C@H]1C,0.39,COc1ccc(cc1)S(=O)(=O)N(C)C[C@H]2OCc3cnnn3CCCC(=O)N(C[C@H]2C)[C@@H](C)CO,0.54,CC1CN(C(C)CO)C(=O)CCCn2cc(nn2)COC1CN(C)C(=O)CCC(F)(F)F,0.2,COC1CC(C)CN(C(=O)c2ccccc2)C(C)C(=O)Oc2c(cccc2NC(=O)NC(C)C)CN1C
C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)c2ccncc2)OCCCC[C@H](C)Oc3ccc(NC(=O)c4ccccc4)cc3C1=O,0.07,CN[C@@H]1[C@H](O)[C@H](NC)[C@H]2O[C@]3(O)[C@@H](O[C@H](C)CC3=O)O[C@@H]2[C@H]1O,0.2,CCC(c1ccccc1)=C(/c1ccccc1)c1ccc(OCCN(C)C)cc1,0.5,CC(C)NC(=O)N(C)CC1OCCCCC(C)Oc2ccc(NC(=O)C3CCCCC3)cc2C(=O)N(C(C)CO)CC1C,0.15,NC1CCCC(C=CC=C2CN(Cc3ccccc3)C(=O)C2=O)C1
C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)C)OCCCC[C@@H](C)Oc2ccc(NS(=O)(=O)c3cn(C)cn3)cc2C1=O,0.27,COc1ccc(CN(C)C[C@@H]2OCc3cnnn3CCCC(=O)N(C[C@H]2C)[C@@H](C)CO)cc1,0.08,CC(=O)SCC(Cc1ccccc1)C(=O)NCC(=O)OCc1ccccc1,0.52,COc1ccc(NC(=O)N(C)CC2OCCCCC(C)Oc3ccc(N(C)C)cc3C(=O)N(C(C)CO)CC2C)cc1,0.03,CCOC(=O)CCCC(=O)NCCCCNC(=O)C(CCCNC(=N)N)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCCNC(=N)N)NC(=O)CCCCNC
C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)C)OCCCC[C@H](C)Oc2ccc(NS(=O)(=O)c3cn(C)cn3)cc2C1=O,0.16,OC[C@@H]1O[C@H](CC(=O)NCc2ccc(Cl)cc2)C[C@H]3[C@@H]1Oc4ccc(NC(=O)CC5CC5)cc34,0.14,COc1cc2OC[C@H]3Oc4c(CC=C(C)C)c(O)ccc4C(=O)[C@H]3c2cc1OC,0.63,CC1CCCCOC(CN(C)C)C(C)CN(C(C)CO)C(=O)c2cc(NC(=O)c3ccncc3)ccc2O1,0.17,CN1CCN(C(=O)CC2C=C(c3ccc(-c4ccccc4C(=O)N(C)C)c(C#N)c3)C(CO)CO2)CC1
C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)Cc2ccc(C)cc2)OCc3cn(CCCC1=O)nn3,0.12,OC[C@@H]1O[C@H](CC(=O)NCc2ccc(Oc3ccccc3)cc2)C=C[C@H]1NC(=O)c1ccccc1,0.07,NC(=O)c1cccc(N)c1,0.34,Cc1ccc(S(=O)(=O)Nc2ccc3c(c2)C(=O)N(C(C)CO)CC(C)C(CN(C)Cc2ccc(C(F)(F)F)cc2)OCCCCC(C)O3)cc1,0.08,CN(CC(=O)Nc1cc(C(=O)Nc2cccnc2)c2ccccc2c1)C(=O)c1ccc2ccccc2c1
C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)Cc2ccc(Cl)c(Cl)c2)Oc3c(NS(=O)(=O)C)cccc3C1=O,0.34,C[C@H](CO)N1C[C@H](C)[C@H](CN(C)Cc2ccc(cc2)c3ccccc3)Oc4ccc(NC(=O)CCN5CCOCC5)cc4C1=O,0.14,CN(C)CCCSc1ccccc1NC(=O)C=Cc1ccccc1,0.37,CC1CCCCOC(CN(C)Cc2cccc(C(F)(F)F)c2)C(C)CN(C(C)CO)C(=O)c2cc(NS(=O)(=O)c3cccs3)ccc2O1,0.12,COc1ccc(C(=O)NCCCCCN(C)C)c(OC)c1
C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)Cc2ccc(Cl)c(Cl)c2)Oc3ccc(NC(=O)c4ccncc4)cc3C1=O,0.14,Fc1ccc(cc1)C(=O)CSc2nsc(SCC(=O)c3ccc(F)cc3)c2C#N,0.08,COc1ccc(cc1OC1CCCC1)C1CNC(=O)C1,0.41,CC(C)NC(=O)Nc1ccc2c(c1)C(=O)N(C(C)CO)CC(C)C(CN(C)Cc1ccc(C(F)(F)F)cc1)OCCCCC(C)O2,0.18,COC1CN(C)C(=O)c2cc(NS(=O)(=O)c3cn(C)cn3)ccc2OCC(C)N(C(C)=O)CC1C
C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)Cc2ccc(cc2)C(F)(F)F)OCc3cnnn3CCCC1=O,0.13,COCC(=O)N1C[C@H](C)[C@@H](CN(C)C(=O)c2cc(NC(=O)c3cc(C)on3)ccc2OC[C@@H]1C)OC,0.1,COc1cc2OC[C@H]3Oc4c(CC=C(C)C)c(O)ccc4C(=O)[C@H]3c2cc1OC,0.43,CC1CN(C(C)CO)C(=O)Cc2cc(NC(=O)CCN3CCOCC3)ccc2OC1CN(C)Cc1ccc(C(F)(F)F)cc1,0.1,CC(C)(C)S(=O)N1CCC(CNC(=O)CN2CCCCC2)C1
C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)Cc2ccc(cc2)C(F)(F)F)Oc3ccc(NC(=O)Nc4c(C)noc4C)cc3C1=O,0.08,Nc1nc(N)nc(n1)-c1cc(Cl)ccc1Cl,0.14,CCN(CC)CC(=O)Nc1c(C)cccc1C,0.55,CCCNC(=O)Nc1ccc2c(c1)C(=O)N(C(C)CO)CC(C)C(CN(C)Cc1ccc(-c3ccccc3)cc1)O2,0.16,O=C(Nc1cccc(C(F)(F)F)c1S(=O)(=O)NC(C(=O)O)c1cccnc1)c1cc(NC(=O)C2(C(O)C(O)C(CO)C(=O)O)C=CCC2)cc(O)c1O
C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)Cc2cccc(F)c2)Oc3ncc(C#CC(C)(C)O)cc3C1=O,0.18,CCCN1C[C@H](C)[C@@H](CN(C)C(=O)c2cc(NC(=O)Nc3ccccc3F)ccc2OC[C@@H]1C)OC,0.16,COC(=O)C1=C(C)NC(C)=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OCCN(C)Cc1ccccc1,0.35,CC1CN(C(C)CO)S(=O)(=O)c2ccc(C#CC(C)(C)C)cc2OC1CN(C)Cc1ccc(C(=O)O)cc1,0.12,CC1OCC(C)C2(CN(CC3CC3)C2)N(C(C)CO)S(=O)(=O)C1=O
C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)S(=O)(=O)CC(F)(F)F)OCc2ccccc2-c3c(C1=O)n(C)c4ccccc34,0.16,OC[C@@H]1O[C@H](CC(=O)O)C[C@@H]2[C@H]1Oc3ccc(NC(=O)Nc4ccc(cc4)C(F)(F)F)cc23,0.1,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,0.28,CC1CN(C(C)CO)C(=O)c2cc(NC(=O)Nc3ccc(C(F)(F)F)cc3)ccc2OC1CN(C)Cc1ccc(C(F)(F)F)cc1,0.1,CCCNC(=O)CC1CC2c3cc(NC(=O)C4CCCCC4)ccc3OC2C(CO)O1
C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)S(=O)(=O)c2ccccc2)OCc3cn(CCCC1=O)nn3,0.56,C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Nc2ccc(cc2)C(F)(F)F)OCc3cn(CCCC1=O)nn3,0.07,C[C@H](O)[C@H](C)[C@@H]1O[C@H]1C[C@H]1CO[C@@H](CC(C)=CC(=O)OCCCCCCCCC(O)=O)[C@H](O)[C@@H]1O,0.27,CC1CN(C(C)CO)C(=O)c2c(c3ccccc3n2C)-c2ccccc2COC1CN(C)C(=O)CCC(F)(F)F,0.19,O=C(NC(Cc1ccccc1)C(=O)N1CCOCC1)C1CCC(CO)N1C(=O)c1cccnc1
C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)S(=O)(=O)c2cn(C)cn2)OCc3ccccc3-c4ccccc4C1=O,0.6,C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)Cc2cccc(c2)C(=O)O)OCc3ccccc3-c4ccccc4C1=O,0.13,Nc1cccc2C(=O)N(Cc12)C1CCC(=O)NC1=O,0.31,CCCN(C)CC1OCCCCC(C)Oc2ccc(NS(=O)(=O)c3ccc(C)cc3)cc2C(=O)N(C(C)CO)CC1C,0.09,CN(C)CCOCCN1CCN(CCCN2CCN(Cc3c(O)cccc3O)CC2)CC1
C[C@@H](N)[C@H]1CC[C@@H](CC1)C(=O)Nc1ccncc1,0.08,COc1ccc(cc1)S(=O)(=O)N2CCN(CC2)S(=O)(=O)c3ccc4OCCOc4c3,0.11,CC(C)Cn1cnc2c(N)nc3ccccc3c12,0.18,CC(C)NC(=O)Nc1ccc2c(c1)C(=O)N(C(C)CO)CC(C)C(CN(C)Cc1ccncc1)OCCCCC(C)O2,0.09,COc1ccccc1C#Cc1ccccc1-c1cnc2c(c1)C(=O)N(C(C)CO)CC(C)C(CN(C)C(=O)NC(C)C)O2
C[C@@H](Nc1ccccc1C(O)=O)c1cc(C)cn2c1nc(cc2=O)N1CCOCC1,0.21,CS(=O)(=O)N1CCN(Cc2cc3nc(nc(N4CCOCC4)c3s2)-c2cccc3[nH]ncc23)CC1,0.15,Fc1ccc(Cn2cccc(C(=O)N[C@@H](COc3ccc4[nH]c(=O)[nH]c4c3)c3ccccc3)c2=O)cc1F,0.18,CC(C)NC(=O)Nc1ccc(-c2nc3ccccc3n2C)cc1,0.02,COC1C(O)OC(CO)C(O)C1O
C[C@@H]1CC2C3CCC4=CC(=O)C=CC4(C)[C@]3(F)[C@@H](O)CC2(C)[C@]1(O)C(=O)CO,0.37,CCC(=O)O[C@@]1([C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C)C(=O)SCF,0.33,CC(=O)OCC(=O)[C@@]1(O)CCC2C3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C,0.12,CC(C)NC(=O)Nc1ccc2c(c1)C(=O)N(C(C)CO)CC(C)C(CN(C)Cc1ccc(C(F)(F)F)cc1)OCCCCC(C)O2,0.09,COc1ccc(CN(C)CC2Oc3c(C#CC(C)C)ccnc3C(=O)N(C(C)CO)CC2C)cc1
C[C@@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,0.78,C[C@@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COC(C)=O,0.1,OC(=O)C1CCn2c1ccc2C(=O)c1ccccc1,0.13,CC1CN(C(C)CO)C(=O)CCCn2cc(nn2)COC1CN(C)C(=O)c1ccc(C(F)(F)F)cc1,0.12,COC1CN(C)C(=O)c2ccc(NC(=O)NC(C)C)cc2OCC(C)N(CCC(F)(F)F)CC1C
C[C@@H]1CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,0.36,CC1(C)O[C@@H]2CC3C4C[C@H](F)C5=CC(=O)C=CC5(C)C4C(O)CC3(C)[C@@]2(O1)C(=O)CO,0.09,OC(=O)C1CCn2c1ccc2C(=O)c1ccccc1,0.11,CC1CCCCOC(CN(C)Cc2ccc(C(F)(F)F)cc2)C(C)CN(C(C)CO)C(=O)c2cc(NC(=O)C3CCCCC3)ccc2O1,0.1,CC1(CNC(=O)CN2CCN(S(=O)(=O)c3ccc(Cl)cc3)CC2)CC1
C[C@@H]1CCc2cnnn2COC[C@@H](Cc2ccccc2)NC1=O,0.16,C[C@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)[C@@H](Cc2ccccc2)N(C)C)OCc3ccccc3-c4c(C1=O)n(C)c5ccccc45,0.1,CN(C)CCCNC(=O)C[C@@H]1CC[C@@H](NS(=O)(=O)c2ccc(C)cc2)[C@H](CO)O1,0.21,CC1CN(C(C)CO)C(=O)CCCn2nncc2COC1CN(C)C(=O)c1ccncc1,0.12,CC(C)CNC(=O)C(NC(=O)C(CC(C)C)NC(=O)C1C2Cn3c(ccc(-c4ccncc4)c3=O)C(N2)C1C(=O)Nc1nccs1)c1ccccc1
C[C@@H]1C[C@@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,0.06,CCCCCN(C)CCC(O)(P(O)(O)=O)P(O)(O)=O,0.06,CCCCCN(C)CCC(O)(P(O)(O)=O)P(O)(O)=O,0.12,CC1CN(C(C)CO)C(=O)c2cc(N(C)C)ccc2OC1CN(C)C(=O)NC1CCCCC1,0.12,CC1CN(C(C)CO)C(=O)CCCn2nncc2COC1CN(C)C(=O)Cc1ccccc1
